rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,sigma_Ab,sigma_1,sigma_2,group
1,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
1,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
2,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
2,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
3,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
3,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
4,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
4,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
5,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
5,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
6,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
6,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
7,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
7,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
8,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
8,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
9,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
9,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
10,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
10,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
11,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
11,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
12,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
12,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
13,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
13,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
14,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
14,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
15,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
15,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
16,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
16,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
17,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
17,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
18,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
18,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
19,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
19,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
20,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
20,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
21,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
21,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
22,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
22,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
23,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
23,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
24,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
24,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup2
25,4.132851589,0.535186557,0.408281329,0.144455791,2.7,0.008992836,0.03,0.1,1,0.585069453,0.440295299,0.440295299,simulationGroup1
